x,y
-2,-56
-97,-28
-56,-27
77,8
50,-9
-51,88
-4,20
69,4
-12,16
-93,-58
-48,93
-22,2
79,54
-23,6
82,59
2,-50
-52,-21
-125,-5
-59,-60
-113,-31
-102,-22
51,-9
-53,99
46,-1
-57,-15
-97,-51
9,-33
-46,31
68,16
-26,9
-34,5
-39,39
-48,70
-36,44
30,-11
42,0
7,42
48,43
-87,-1
-55,67
-95,-6
20,-19
-124,-33
31,-10
-63,-17
-50,2
-91,-36
103,15
1,-33
34,1
-102,-9
-55,-77
44,45
64,23
56,19
-27,21
-68,-11
86,47
6,-62
38,7
-56,-37
3,49
49,16
-105,-42
98,21
-99,1
-39,52
-107,-3
-87,-25
-95,-29
-35,22
90,53
82,49
83,14
-20,1
53,-9
-2,55
-110,-36
-109,-35
5,-50
-68,-34
76,10
-65,-29
-51,55
-119,0
15,0
-48,60
67,47
86,60
59,43
-56,-24
71,17
70,52
-4,23
9,42
83,-9
-126,-3
-106,-25
-94,-51
13,-68
-23,9
84,-8
-45,70
73,62
10,42
-98,-49
-44,71
2,38
-46,-1
15,-23
-41,76
67,24
-28,15
18,-18
89,42
-138,0
82,3
-99,-9
101,16
100,57
20,-52
92,53
4,-60
75,0
-60,-45
-94,-38
33,3
52,16
-2,45
44,12
-91,-33
-32,22
-80,-18
93,53
45,13
78,10
-63,71
-57,-35
96,64
-53,-65
79,11
-63,-73
-52,-64
-107,0
-60,-68
-95,-26
-49,90
-3,57
-2,22
-1,22
44,-11
4,-47
-91,-56
-45,60
116,14
74,17
45,-10
-123,-3
-98,-59
-44,61
2,28
-111,-29
-65,-62
-131,-7
15,-33
-40,31
66,49
-47,-8
-122,-2
-130,-6
-64,-61
-37,42
-118,-32
-14,25
-95,-49
92,43
12,-66
