x,y
26.0,39.0
67.0,77.0
-109.0,80.0
39.0,-22.0
111.0,83.0
-5.0,-92.0
146.0,77.0
5.0,101.0
16.0,-33.0
35.0,-20.0
-12.0,-95.0
-13.0,-91.0
-142.0,24.0
23.0,91.0
138.0,78.0
-65.0,-22.0
50.0,-35.0
-79.0,80.0
96.0,81.0
-33.0,-33.0
41.0,-84.0
99.0,86.0
30.0,-14.0
150.0,88.0
29.0,27.0
-59.0,-86.0
-109.0,93.0
106.0,-19.0
64.0,-16.0
69.0,99.0
-19.0,-14.0
-6.0,-75.0
-61.0,-11.0
2.0,45.0
15.0,-16.0
-114.0,99.0
20.0,99.0
18.0,-11.0
23.0,104.0
64.0,-124.0
36.0,43.0
-107.0,-6.0
94.0,-16.0
27.0,-6.0
-8.0,-27.0
-108.0,35.0
11.0,-14.0
-70.0,61.0
43.0,-62.0
84.0,-24.0
48.0,53.0
1.0,-59.0
45.0,-16.0
64.0,-3.0
91.0,100.0
36.0,-65.0
-52.0,51.0
-126.0,102.0
8.0,102.0
66.0,43.0
11.0,107.0
-122.0,-8.0
-103.0,5.0
24.0,46.0
101.0,0.0
59.0,40.0
-82.0,64.0
4.0,104.0
45.0,-124.0
-129.0,-11.0
31.0,-59.0
91.0,-8.0
131.0,64.0
24.0,-62.0
1.0,-46.0
54.0,46.0
87.0,-6.0
-134.0,-5.0
3.0,0.0
-52.0,64.0
-66.0,-100.0
24.0,59.0
84.0,110.0
-37.0,49.0
-45.0,-41.0
51.0,-104.0
87.0,115.0
-134.0,116.0
119.0,67.0
-98.0,69.0
72.0,-45.0
75.0,-3.0
61.0,62.0
-27.0,-51.0
-9.0,3.0
51.0,17.0
73.0,72.0
114.0,73.0
40.0,-105.0
-15.0,-41.0
12.0,62.0
31.0,75.0
-112.0,26.0
190.0,68.0
42.0,-59.0
-113.0,67.0
107.0,70.0
-60.0,-107.0
93.0,135.0
19.0,-43.0
-36.0,21.0
35.0,-99.0
40.0,16.0
141.0,68.0
67.0,-110.0
-1.0,19.0
-2.0,19.0
28.0,-102.0
-41.0,27.0
-143.0,16.0
-124.0,29.0
32.0,17.0
-56.0,-96.0
-51.0,19.0
-106.0,83.0
62.0,-104.0
72.0,89.0
-145.0,91.0
171.0,68.0
-132.0,30.0
88.0,70.0
14.0,84.0
-60.0,-94.0
0.0,-43.0
41.0,-42.0
151.0,89.0
44.0,-37.0
35.0,-86.0
-20.0,-22.0
34.0,-45.0
20.0,20.0
-76.0,83.0
125.0,73.0
70.0,137.0
-35.0,-145.0
-118.0,86.0
83.0,76.0
-65.0,-88.0
-79.0,14.0
-141.0,102.0
-47.0,-34.0
-143.0,29.0
-28.0,-21.0
159.0,71.0
30.0,-80.0
16.0,22.0
90.0,-29.0
34.0,76.0
6.0,-23.0
-49.0,41.0
37.0,81.0
-151.0,30.0
41.0,-29.0
-88.0,86.0
-130.0,89.0
-56.0,38.0
90.0,92.0
-72.0,30.0
92.0,138.0
-29.0,-152.0
83.0,89.0
36.0,-23.0
-93.0,92.0
-121.0,30.0
8.0,-85.0
-61.0,44.0
25.0,84.0
-8.0,-93.0
16.0,35.0
-81.0,102.0
6.0,-10.0
-49.0,54.0
-123.0,105.0
45.0,-82.0
-10.0,-18.0
-38.0,-80.0
22.0,-66.0
8.0,36.0
113.0,89.0
154.0,90.0
-6.0,-128.0
80.0,-125.0
-108.0,90.0
-116.0,0.0
85.0,-10.0
30.0,54.0
131.0,106.0
57.0,-72.0
-86.0,108.0
-133.0,33.0
59.0,-26.0
4.0,38.0
36.0,-10.0
-25.0,-20.0
-135.0,108.0
-61.0,57.0
66.0,-131.0
-3.0,-1.0
57.0,49.0
-31.0,-64.0
43.0,-115.0
120.0,105.0
-82.0,119.0
31.0,-4.0
-65.0,59.0
-52.0,-1.0
-113.0,-12.0
38.0,-72.0
-91.0,6.0
-31.0,57.0
84.0,44.0
-86.0,121.0
1.0,9.0
17.0,-10.0
182.0,57.0
-11.0,-109.0
-6.0,6.0
-39.0,58.0
-94.0,122.0
-122.0,60.0
38.0,49.0
-91.0,127.0
-50.0,-64.0
-9.0,-63.0
65.0,-114.0
-119.0,65.0
-45.0,14.0
-51.0,-60.0
-106.0,4.0
-87.0,17.0
174.0,58.0
12.0,-4.0
91.0,60.0
177.0,63.0
3.0,-53.0
135.0,66.0
80.0,130.0
5.0,-44.0
-50.0,57.0
-91.0,19.0
10.0,71.0
-23.0,-106.0
-18.0,9.0
-32.0,74.0
128.0,63.0
-20.0,-101.0
-115.0,76.0
72.0,-98.0
-71.0,119.0
-99.0,20.0
-94.0,135.0
-27.0,-104.0
-41.0,-39.0
-55.0,63.0
-36.0,76.0
-91.0,140.0
82.0,68.0
